role_name,skill_name
Data Scientist,Python
Data Scientist,Machine Learning
Data Scientist,Deep Learning
Data Scientist,SQL
Data Scientist,Statistics
Data Scientist,Data Visualization
Data Scientist,Power BI
Data Scientist,Tableau
Data Scientist,Pandas
Data Scientist,Numpy
Data Scientist,Feature Engineering
Data Scientist,Model Evaluation
Data Scientist,Big Data
Data Scientist,Spark
Data Scientist,Hadoop
Data Scientist,NLP
Data Scientist,Computer Vision
Data Scientist,Data Cleaning

Frontend Developer,HTML
Frontend Developer,CSS
Frontend Developer,JavaScript
Frontend Developer,React
Frontend Developer,Next.js
Frontend Developer,TypeScript
Frontend Developer,Tailwind CSS
Frontend Developer,Bootstrap
Frontend Developer,Responsive Design
Frontend Developer,UI/UX Design
Frontend Developer,DOM Manipulation
Frontend Developer,API Integration
Frontend Developer,Web Performance Optimization
Frontend Developer,Version Control (Git)
Frontend Developer,Testing (Jest)

Backend Developer,Python
Backend Developer,Java
Backend Developer,Node.js
Backend Developer,Flask
Backend Developer,Django
Backend Developer,Spring Boot
Backend Developer,REST APIs
Backend Developer,GraphQL
Backend Developer,Databases
Backend Developer,SQL
Backend Developer,NoSQL
Backend Developer,Authentication & Authorization
Backend Developer,System Design
Backend Developer,Microservices
Backend Developer,Docker
Backend Developer,Kubernetes

HR Analyst,Communication
HR Analyst,Recruitment
HR Analyst,Interviewing
HR Analyst,Employee Engagement
HR Analyst,HR Analytics
HR Analyst,Data Analysis
HR Analyst,Conflict Resolution
HR Analyst,Performance Management
HR Analyst,Payroll Management
HR Analyst,Compliance Knowledge
HR Analyst,Onboarding
HR Analyst,Training & Development

College Administrator,Data Analysis
College Administrator,Student Management Systems
College Administrator,Reporting
College Administrator,Communication
College Administrator,Academic Planning
College Administrator,Performance Tracking
College Administrator,Excel
College Administrator,Leadership
College Administrator,Coordination
College Administrator,Policy Management

Referrer,Communication
Referrer,Networking
Referrer,Industry Knowledge
Referrer,Resume Review
Referrer,Evaluation Skills
Referrer,Decision Making
Referrer,Relationship Management
Referrer,Professional Ethics
Referrer,Feedback Skills
Referrer,Screening Ability

Full Stack Developer,HTML
Full Stack Developer,JavaScript
Full Stack Developer,React
Full Stack Developer,Node.js
Software Engineer,Data Structures
Software Engineer,Algorithms
Software Engineer,Java
Software Engineer,System Design
DevOps Engineer,Docker
DevOps Engineer,Kubernetes
DevOps Engineer,CI/CD
DevOps Engineer,AWS
Cloud Engineer,AWS
Cloud Engineer,Azure
Cloud Engineer,Cloud Security
Cloud Engineer,Networking
Cybersecurity Analyst,Network Security
Cybersecurity Analyst,Ethical Hacking
Cybersecurity Analyst,Cryptography
UI Designer,Figma
UI Designer,Adobe XD
UI Designer,Wireframing
Android Developer,Java
Android Developer,Kotlin
Android Developer,Android Studio
QA Engineer,Testing
QA Engineer,Selenium
QA Engineer,Automation Testing